id,key,value,type
419366592,cityracks.street,E 14th St,regular
419366592,cityracks.housenum,246,regular
419366661,amenity,bicycle_parking,regular
419366661,capacity,2,regular
419366661,cityracks.large,0,regular
419366661,cityracks.small,1,regular
419366661,cityracks.rackid,1826,regular
419366661,cityracks.street,University Pl,regular
419366661,cityracks.housenum,82,regular
419366796,amenity,bicycle_parking,regular
419366796,capacity,2,regular
419366796,cityracks.large,0,regular
419366796,cityracks.small,1,regular
419366796,cityracks.rackid,2986,regular
419366796,cityracks.street,E Broadway,regular
419366796,cityracks.housenum,212,regular
419366796,cityracks.installed,6/27/2006,regular
419367082,amenity,bicycle_parking,regular
419367082,capacity,5,regular
419367082,cityracks.large,1,regular
419367082,cityracks.small,0,regular
419367082,cityracks.rackid,1210,regular
419367082,cityracks.street,E 86th St,regular
419367082,cityracks.housenum,203,regular
419367169,amenity,bicycle_parking,regular
419367169,capacity,6,regular
419367169,cityracks.large,0,regular
419367169,cityracks.small,3,regular
419367169,cityracks.rackid,4713,regular
419367169,cityracks.street,Bogart St,regular
419367169,cityracks.housenum,39,regular
419367235,amenity,bicycle_parking,regular
419367235,capacity,2,regular
419367235,cityracks.large,0,regular
419367235,cityracks.small,1,regular
419367235,cityracks.rackid,4524,regular
419367235,cityracks.street,New Dorp Plaza,regular
419367235,cityracks.housenum,44,regular
419367365,amenity,bicycle_parking,regular
419367365,capacity,4,regular
419367365,cityracks.large,0,regular
419367365,cityracks.small,2,regular
419367365,cityracks.rackid,783,regular
419367365,cityracks.street,Broadway NYCTA Train 1 & 9,regular
419367365,cityracks.housenum,0,regular
419367569,amenity,bicycle_parking,regular
419367569,capacity,4,regular
419367569,cityracks.large,0,regular
419367569,cityracks.small,2,regular
419367569,cityracks.rackid,"4732,4885",regular
419367569,cityracks.street,Westchester Ave,regular
419367569,cityracks.housenum,1621,regular
419367569,cityracks.installed,6/8/2008,regular
419367801,amenity,bicycle_parking,regular
419367801,capacity,5,regular
419367801,cityracks.large,1,regular
419367801,cityracks.small,0,regular
419367801,cityracks.rackid,1611,regular
419367801,cityracks.street,3rd Ave,regular
419367801,cityracks.housenum,589,regular
440230633,highway,traffic_signals,regular
440230633,traffic_signals,signal,regular
455883751,ref,17N,regular
455883751,highway,motorway_junction,regular
462834917,name,Cafe Metro,regular
462834917,amenity,restaurant,regular
467715961,highway,turning_circle,regular
